"Program","Year","Period","Geo.Level","State","State.ANSI","Commodity","Type","Operation_Measure","Domain","Category_Type","Details","Value","CV...."
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",963,"5.6"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",236,"13.2"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",535,"5.1"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",666,"4.2"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",244,"34.1"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",210,"37.3"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",547,"9.9"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",315,"(H)"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",161,"25.4"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",146,"17.2"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",131,"11.9"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",510,"7.3"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",146,"44.0"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",161,"25.4"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",147,"18.3"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",131,"11.9"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",514,"7.3"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",146,"44.0"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",562,"6.4"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",17,"27.9"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",43,"19.0"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",22,"40.9"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",200,"8.2"
"CENSUS",2022,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",16,"72.6"
"CENSUS",2022,"YEAR","STATE","ALABAMA",1,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",162,"16.9"
"CENSUS",2022,"YEAR","STATE","ALABAMA",1,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",171,"17.5"
"CENSUS",2022,"YEAR","STATE","ALABAMA",1,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",9,"80.0"
"CENSUS",2022,"YEAR","STATE","ALABAMA",1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",107,"19.7"
"CENSUS",2022,"YEAR","STATE","ALABAMA",1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",119,"17.5"
"CENSUS",2022,"YEAR","STATE","ALABAMA",1,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",18,"26.9"
"CENSUS",2022,"YEAR","STATE","ALASKA",2,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",11,"(L)"
"CENSUS",2022,"YEAR","STATE","ALASKA",2,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",14,"(L)"
"CENSUS",2022,"YEAR","STATE","ALASKA",2,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",3,"(L)"
"CENSUS",2022,"YEAR","STATE","ALASKA",2,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",45,"(L)"
"CENSUS",2022,"YEAR","STATE","ALASKA",2,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",50,"(L)"
"CENSUS",2022,"YEAR","STATE","ALASKA",2,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",8,"(L)"
"CENSUS",2022,"YEAR","STATE","ARIZONA",4,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",3,"29.4"
"CENSUS",2022,"YEAR","STATE","ARIZONA",4,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",4,"33.8"
"CENSUS",2022,"YEAR","STATE","ARIZONA",4,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",1,"93.3"
"CENSUS",2022,"YEAR","STATE","ARIZONA",4,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",16,"25.8"
"CENSUS",2022,"YEAR","STATE","ARIZONA",4,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",24,"15.8"
"CENSUS",2022,"YEAR","STATE","ARIZONA",4,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",9,"38.0"
"CENSUS",2022,"YEAR","STATE","ARKANSAS",5,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",116,"33.4"
"CENSUS",2022,"YEAR","STATE","ARKANSAS",5,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",128,"33.0"
"CENSUS",2022,"YEAR","STATE","ARKANSAS",5,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",12,"42.1"
"CENSUS",2022,"YEAR","STATE","ARKANSAS",5,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",71,"36.0"
"CENSUS",2022,"YEAR","STATE","ARKANSAS",5,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",80,"35.7"
"CENSUS",2022,"YEAR","STATE","ARKANSAS",5,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",24,"34.2"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",138,"(H)"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",370,"31.6"
