"Program","Year","Period","Geo.Level","State","State.ANSI","Commodity","Market_Type","Measure_Operation","Unit_of_Measure","Domain","Chemical_Use","Chemical_Name","Chemical_Code","Value","CV...."
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","FRESH MARKET","PRICE RECEIVED, ADJUSTED BASE","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,10.9,""
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","PROCESSING","PRICE RECEIVED, ADJUSTED BASE","$ / TON","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,4.04,""
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,123,""
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","FRESH MARKET","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,142,""
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","PROCESSING","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,43.8,""
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,121,""
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,147,""
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",-1,"STRAWBERRIES","FRESH MARKET","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,142,""
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",-1,"STRAWBERRIES","PROCESSING","PRICE RECEIVED","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,43.8,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","YIELD","CWT / ACRE","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,485,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","OTHER","YIELD","TONS / ACRE","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,24.26,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","FRESH MARKET","PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,120,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","FRESH MARKET","PRICE RECEIVED, 10 YEAR AVG","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,120,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","FRESH MARKET","PRICE RECEIVED, ADJUSTED BASE","$ / CWT","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,10.8,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","PROCESSING","PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES","$ / TON","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,44.4,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","PROCESSING","PRICE RECEIVED, 10 YEAR AVG","$ / TON","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,44.4,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"STRAWBERRIES","PROCESSING","PRICE RECEIVED, ADJUSTED BASE","$ / TON","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,4.05,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","YIELD","CWT / ACRE","TOTAL","NOT SPECIFIED","NOT SPECIFIED",NA,575,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB","CHEMICAL, INSECTICIDE","INSECTICIDE","(ABAMECTIN",NA,300,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(AZOXYSTROBIN",NA,0.234,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(BORAX DECAHYDRATE",NA,0.042,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(BOSCALID",NA,0.354,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(CAPTAN",NA,1.693,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(CYPRODINIL",NA,0.316,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FENHEXAMID",NA,0.659,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FLUDIOXONIL",NA,0.211,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FLUOPYRAM",NA,0.119,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FLUXAPYROXAD",NA,0.161,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(MEFENOXAM",NA,0.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(MYCLOBUTANIL",NA,0.105,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PENTHIOPYRAD",NA,0.271,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(POLYOXIN D ZINC SALT",NA,0.061,""
